2018年 医 保 药 品 目 录,,,,,,,,,,,,
,,,,,,,,,,,,,
序号,医保药品名称,目录类别,目录剂型,目录等级,工伤目录,生育目录,医疗目录,非处方用药,限制范围,普通人员支付类型,特殊人群支付类型,居民支付类型
228,伏立康唑,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,限有明确的重度免疫缺陷诊断并发严重真菌感染的临床证据；曲霉菌肺炎或中枢神经系统感染,先支付5%,无先支付,先支付5%
229,伏立康唑,西药,口服液体剂,乙类,不属于,不属于,属于,处方用药,限有明确的重度免疫缺陷诊断并发严重真菌感染的临床证据；曲霉菌肺炎或中枢神经系统感染,先支付5%,无先支付,先支付5%
230,伏立康唑,西药,注射剂,乙类,属于,属于,属于,处方用药,限有明确的重度免疫缺陷诊断并发严重真菌感染的临床证据；曲霉菌肺炎或中枢神经系统感染,先支付5%,无先支付,先支付5%
231,氟康唑(氟康唑氯化钠、氟康唑葡萄糖),西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
232,伊曲康唑,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
233,伊曲康唑,西药,颗粒剂,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
234,伊曲康唑,西药,口服液体剂,乙类,属于,属于,属于,处方用药,限有HIV诊断或免疫缺陷患者口腔或食道真菌感染,先支付5%,无先支付,先支付5%
235,伊曲康唑(限重症侵袭性真菌感染),西药,注射剂,乙类,属于,属于,属于,处方用药,限重症侵袭性真菌感染,先支付5%,无先支付,先支付5%
236,制霉素,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
237,两性霉素B,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
238,两性霉素Ｂ,西药,脂质体注射剂,乙类,属于,属于,属于,非处方用药,限其他抗真菌药物（含两性霉素B注射剂）无效的侵袭性真菌感染,先支付10%,无先支付,先支付10%
239,卡泊芬净(限有药敏证据的念珠菌血症),西药,注射剂,乙类,属于,属于,属于,处方用药,限有药敏证据的念珠菌血症,先支付10%,无先支付,先支付10%
240,米卡芬净(限有药敏证据的念珠菌血症),西药,注射剂,乙类,属于,属于,属于,处方用药,限有药敏证据的念珠菌血症,先支付10%,无先支付,先支付10%
241,氟胞嘧啶,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
242,氟胞嘧啶,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
243,特比萘芬,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
244,达托霉素,西药,注射剂,乙类,属于,属于,属于,非处方用药,限有证据支持的金黄色葡萄球菌菌血症（含右心心内膜炎）,先支付10%,无先支付,先支付10%
245,阿昔洛韦,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
246,阿昔洛韦,西药,颗粒剂,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
247,利巴韦林,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
248,利巴韦林,西药,颗粒剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
249,利巴韦林,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
250,阿昔洛韦,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
251,伐昔洛韦,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
252,泛昔洛韦,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
253,泛昔洛韦,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
254,更昔洛韦,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付20%,无先支付,先支付20%
255,更昔洛韦,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
256,阿糖腺苷,西药,注射剂,乙类,属于,属于,属于,处方用药, ,先支付5%,无先支付,先支付5%
257,利匹韦林,西药,口服常释剂型,乙类,属于,属于,属于,非处方用药,限艾滋病病毒感染,先支付5%,无先支付,先支付5%
258,阿德福韦酯,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,限有活动性乙型肝炎的明确诊断及检验证据,先支付10%,无先支付,先支付10%
259,恩夫韦肽(限艾滋病病毒感染),西药,注射剂,乙类,属于,属于,属于,处方用药,限艾滋病病毒感染,先支付5%,无先支付,先支付5%
260,恩曲他滨(限艾滋病病毒感染),西药,口服常释剂型,乙类,属于,属于,属于,处方用药,限艾滋病病毒感染,先支付5%,无先支付,先支付5%
261,恩替卡韦,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,限有活动性乙型肝炎的明确诊断及检验证据,先支付10%,无先支付,先支付10%
262,拉米夫定,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,限有活动性乙型肝炎的明确诊断及检验证据或母婴乙肝传播阻断,先支付10%,无先支付,先支付10%
263,齐多拉米双夫定(限艾滋病病毒感染),西药,口服常释剂型,乙类,属于,属于,属于,处方用药,限艾滋病病毒感染,先支付5%,无先支付,先支付5%
264,替比夫定,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,限有活动性乙型肝炎的明确诊断及检验证据或母婴乙肝传播阻断,先支付10%,无先支付,先支付10%
265,替比夫定,西药,口服液体剂,乙类,属于,属于,属于,非处方用药,限有活动性乙型肝炎的明确诊断及检验证据或母婴乙肝传播阻断,先支付10%,无先支付,先支付10%
266,恩曲他滨替诺福韦,西药,口服常释剂型,乙类,属于,属于,属于,非处方用药,限艾滋病病毒感染,先支付5%,无先支付,先支付5%
267,司他夫定,西药,口服散剂,乙类,属于,属于,属于,非处方用药,限艾滋病病毒感染,先支付5%,无先支付,先支付5%
268,齐多夫定,西药,口服液体剂,乙类,属于,属于,属于,非处方用药,限艾滋病病毒感染,先支付5%,无先支付,先支付5%
269,齐多夫定,西药,注射剂,乙类,属于,属于,属于,非处方用药,限艾滋病病毒感染,先支付5%,无先支付,先支付5%
270,替诺福韦二吡呋酯,西药,口服常释剂型,乙类,属于,属于,属于,非处方用药,限有活动性乙型肝炎的明确诊断及检验证据或母婴乙肝传播阻断,先支付10%,无先支付,先支付10%
271,奥司他韦,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,限有明确甲型流感诊断且为重症患者的治疗,先支付10%,无先支付,先支付10%
272,奥司他韦,西药,颗粒剂,乙类,属于,属于,属于,非处方用药,限有明确甲型流感诊断且为重症患者的治疗,先支付10%,无先支付,先支付10%
273,金刚乙胺,西药,口服常释剂型,乙类,不属于,不属于,属于,处方用药,,先支付5%,无先支付,先支付5%
274,金刚乙胺,西药,口服液体剂,乙类,不属于,不属于,属于,处方用药,,先支付5%,无先支付,先支付5%
275,金刚乙胺,西药,颗粒剂,乙类,不属于,不属于,属于,处方用药,,先支付5%,无先支付,先支付5%
276,沙奎那韦(限艾滋病病毒感染),西药,口服常释剂型,乙类,属于,属于,属于,处方用药,限艾滋病病毒感染,先支付5%,无先支付,先支付5%
277,帕拉米韦氯化钠,西药,注射剂,乙类,属于,属于,属于,非处方用药,限有明确甲型流感诊断且为重症患者的治疗,先支付5%,无先支付,先支付5%
278,抗艾滋病用药,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,◇,无先支付,无先支付,无先支付
279,膦甲酸钠(膦甲酸钠氯化钠、膦甲酸钠葡萄糖),西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
280,吗啉胍,西药,口服常释剂型,乙类,属于,属于,属于,处方用药, ,先支付5%,无先支付,先支付5%
281,小檗碱,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,△,无先支付,无先支付,无先支付
282,鱼腥草素,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
283,大蒜素,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
284,大蒜素,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
285,利奈唑胺,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,限万古霉素治疗不可耐受的重症感染的二线治疗；耐万古霉素的肠球菌感染,先支付20%,无先支付,先支付20%
286,利奈唑胺(利奈唑胺葡萄糖),西药,注射剂,乙类,属于,属于,属于,处方用药,限万古霉素治疗不可耐受的重症感染的二线治疗；耐万古霉素的肠球菌感染,先支付20%,无先支付,先支付20%
287,小儿小檗碱,西药,口服常释剂型,甲类,属于,属于,属于,非处方用药,,无先支付,无先支付,无先支付
288,吡喹酮,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
289,硫氯酚,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
290,乙胺嗪,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
291,蒿甲醚,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
292,青蒿素类药物,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,◇,无先支付,无先支付,无先支付
293,青蒿素,西药,栓剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
294,双氢青蒿素,西药,口服常释剂型,乙类,属于,属于,属于,处方用药, ,先支付5%,无先支付,先支付5%
295,伯氨喹,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
296,奎宁,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
297,氯喹,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
298,氯喹,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
299,乙胺嘧啶,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
300,磺胺多辛,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
301,奎宁,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
302,咯萘啶,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
303,咯萘啶,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
304,哌喹,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
305,羟氯喹,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
306,乙胺嘧啶,西药,贴剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
307,磺胺多辛乙胺嘧啶,西药,口服常释剂型,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
308,甲苯咪唑,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
309,阿苯达唑,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,△,无先支付,无先支付,无先支付
310,氯硝柳胺,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
311,哌嗪,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
312,哌嗪,西药,口服液体剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
313,哌嗪,西药,口服散剂,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
314,双羟萘酸噻嘧啶,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,△,先支付5%,无先支付,先支付5%
315,双羟萘酸噻嘧啶,西药,颗粒剂,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
316,双羟萘酸噻嘧啶,西药,软膏剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
317,双羟萘酸噻嘧啶,西药,栓剂,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
318,阿苯达唑,西药,颗粒剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
319,左旋咪唑,西药,口服常释剂型,乙类,属于,属于,属于,处方用药, ,先支付10%,无先支付,先支付10%
320,左旋咪唑,西药,口服液体剂型,乙类,属于,属于,属于,处方用药, ,先支付10%,无先支付,先支付10%
321,葡萄糖酸锑钠,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
322,葡萄糖酸锑钠,西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
323,喷他脒,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
324,喷他脒,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
325,双碘喹啉,西药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
326,依米丁,西药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
327,阿司匹林,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,△,无先支付,无先支付,无先支付
328,阿司匹林,西药,缓释控释剂型,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
329,阿司匹林,西药,肠溶缓释片,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
330,布洛芬,西药,口服常释剂型,甲类,属于,属于,属于,处方用药,△,无先支付,无先支付,无先支付
